Player;PTS;FGA;AST;DRB;ORB;STL;BLK;TOV
Derrick Jones Jr.;5.0;3.6;0.5;1.5;0.9;0.5;0.6;0.4
Herbert Jones;9.8;7.6;2.5;2.6;1.5;1.6;0.6;1.3
Kai Jones;3.4;2.6;0.3;1.9;0.8;0.4;0.7;0.7
Tre Jones;12.9;10.9;6.6;2.8;0.8;1.3;0.1;1.6
Tyus Jones;10.3;8.9;5.2;2.2;0.4;1.0;0.1;0.9
DeAndre Jordan;5.1;2.9;0.9;3.8;1.3;0.3;0.6;1.2
Cory Joseph;6.9;5.7;3.5;1.4;0.3;0.5;0.1;0.9
Nikola JoviÄá;5.5;4.6;0.7;1.5;0.6;0.5;0.1;0.7
Johnny Juzang;4.8;5.8;0.4;1.7;0.4;0.2;0.2;0.2
Mfiondu Kabengele;1.5;1.8;0.0;1.3;1.3;0.5;0.0;0.3
Frank Kaminsky;2.5;1.8;0.9;1.3;0.2;0.2;0.1;0.3
Frank Kaminsky;2.7;1.7;0.8;1.3;0.1;0.2;0.0;0.3
Frank Kaminsky;1.8;1.9;1.1;1.2;0.4;0.1;0.3;0.0
